,Company,Product,TypeName,Inches,Ram_GB,OpSys,Weight_kg,Price_euros,Touchscreen,ScreenWidth,ScreenHeight,Cpu_producer,Cpu_series,Cpu_model,Cpu_GHz,Gpu_producer,Gpu_model,Gpu_series,Memory1_GB,Memory1_type,Memory2_type
19,Dell,XPS 13,Ultrabook,13.3,8,Windows 10,1.22,979.0,1,1920,1080,Intel,8250U,Core i5,1.6,Intel,UHD Graphics,620,128,SSD,-
20,Asus,Vivobook E200HA,Netbook,11.6,2,Windows 10,0.98,191.9,0,1366,768,Intel,x5-Z8350,Atom,1.44,Intel,HD Graphics,400,32,Flash Storage,-
21,Lenovo,Legion Y520-15IKBN,Gaming,15.6,8,Windows 10,2.5,999.0,0,1920,1080,Intel,7300HQ,Core i5,2.5,Nvidia,GeForce GTX,1050,128,SSD,HDD
22,HP,255 G6,Notebook,15.6,4,No OS,1.86,258.0,0,1366,768,AMD,E2-9000e,E-Series,1.5,AMD,Radeon R2,-,500,HDD,-
23,Dell,Inspiron 5379,2 in 1 Convertible,13.3,8,Windows 10,1.62,819.0,1,1920,1080,Intel,8250U,Core i5,1.6,Intel,UHD Graphics,620,256,SSD,-
24,HP,15-BS101nv (i7-8550U/8GB/256GB/FHD/W10),Ultrabook,15.6,8,Windows 10,1.91,659.0,0,1920,1080,Intel,8550U,Core i7,1.8,Intel,HD Graphics,620,256,SSD,-
25,Dell,Inspiron 3567,Notebook,15.6,4,Windows 10,2.3,418.64,0,1366,768,Intel,6006U,Core i3,2.0,Intel,HD Graphics,520,1024,HDD,-
26,Apple,MacBook Air,Ultrabook,13.3,8,Mac OS X,1.35,1099.0,0,1440,900,Intel,-,Core i5,1.6,Intel,HD Graphics,6000,128,Flash Storage,-
27,Dell,Inspiron 5570,Notebook,15.6,8,Windows 10,2.2,798.7,0,1920,1080,Intel,8250U,Core i5,1.6,AMD,Radeon,530,256,SSD,-
28,Dell,Latitude 5590,Ultrabook,15.6,8,Windows 10,1.88,1298.0,0,1920,1080,Intel,8650U,Core i7,1.9,Intel,UHD Graphics,620,256,SSD,SSD
29,HP,ProBook 470,Notebook,17.3,8,Windows 10,2.5,905.0,0,1920,1080,Intel,8250U,Core i5,1.6,Nvidia,GeForce,930MX,1024,HDD,-
30,Chuwi,"LapBook 15.6""",Notebook,15.6,4,Windows 10,1.89,244.99,0,1920,1080,Intel,x5-Z8300,Atom,1.44,Intel,HD Graphics,-,64,Flash Storage,-
31,Asus,E402WA-GA010T (E2-6110/2GB/32GB/W10),Notebook,14.0,2,Windows 10,1.65,199.0,0,1366,768,AMD,E2-6110,E-Series,1.5,AMD,Radeon R2,-,32,Flash Storage,-
32,HP,17-ak001nv (A6-9220/4GB/500GB/Radeon,Notebook,17.3,4,Windows 10,2.71,439.0,0,1920,1080,AMD,9220,A6-Series,2.5,AMD,Radeon,530,500,HDD,-
33,Dell,XPS 13,Ultrabook,13.3,16,Windows 10,1.2,1869.0,1,3200,1800,Intel,8550U,Core i7,1.8,Intel,UHD Graphics,620,512,SSD,-
34,Apple,MacBook Air,Ultrabook,13.3,8,Mac OS X,1.35,998.0,0,1440,900,Intel,-,Core i5,1.6,Intel,HD Graphics,6000,256,Flash Storage,-
35,Lenovo,IdeaPad 120S-14IAP,Notebook,14.0,4,Windows 10,1.44,249.0,0,1366,768,Intel,N3350,Celeron Dual Core,1.1,Intel,HD Graphics,500,64,Flash Storage,-
36,Acer,Aspire 3,Notebook,15.6,4,Linux,2.1,367.0,0,1366,768,Intel,7130U,Core i3,2.7,Intel,HD Graphics,620,1024,HDD,-
37,Dell,Inspiron 5770,Notebook,17.3,8,Windows 10,2.8,1032.0,0,1920,1080,Intel,8250U,Core i5,1.6,AMD,Radeon,530,128,SSD,HDD
38,HP,250 G6,Notebook,15.6,4,Windows 10,1.86,488.69,0,1366,768,Intel,7200U,Core i5,2.5,Intel,HD Graphics,620,1024,HDD,-
39,HP,ProBook 450,Notebook,15.6,8,Windows 10,2.1,879.0,0,1920,1080,Intel,8250U,Core i5,1.6,Nvidia,GeForce,930MX,256,SSD,-
40,Asus,X540UA-DM186 (i3-6006U/4GB/1TB/FHD/Linux),Notebook,15.6,4,Linux,2.0,389.0,0,1920,1080,Intel,6006U,Core i3,2.0,Intel,HD Graphics,620,1024,HDD,-
41,Dell,Inspiron 7577,Gaming,15.6,16,Windows 10,2.65,1499.0,0,1920,1080,Intel,7700HQ,Core i7,2.8,Nvidia,GeForce GTX,1060,256,SSD,HDD
42,Asus,X542UQ-GO005 (i5-7200U/8GB/1TB/GeForce,Notebook,15.6,8,Linux,2.3,522.99,0,1366,768,Intel,7200U,Core i5,2.5,Nvidia,GeForce,940MX,1024,HDD,-
43,Acer,Aspire A515-51G,Notebook,15.6,4,Windows 10,2.2,682.0,0,1920,1080,Intel,8250U,Core i5,1.6,Intel,UHD Graphics,620,256,SSD,-
44,Dell,Inspiron 7773,2 in 1 Convertible,17.3,12,Windows 10,2.77,999.0,1,1920,1080,Intel,8250U,Core i5,1.6,Nvidia,GeForce,150MX,1024,HDD,-
45,Apple,MacBook Pro,Ultrabook,13.3,8,macOS,1.37,1419.0,0,2560,1600,Intel,-,Core i5,2.0,Intel,Iris Graphics,540,256,SSD,-
46,Lenovo,IdeaPad 320-15ISK,Notebook,15.6,4,No OS,2.2,369.0,0,1366,768,Intel,6006U,Core i3,2.0,Intel,HD Graphics,520,128,SSD,-
47,Asus,Rog Strix,Gaming,17.3,8,Windows 10,3.2,1299.0,0,1920,1080,AMD,1700,Ryzen,3.0,AMD,Radeon RX,580,256,SSD,HDD
48,Dell,Inspiron 3567,Notebook,15.6,4,Windows 10,2.3,639.0,0,1920,1080,Intel,7200U,Core i5,2.5,AMD,Radeon R5,M430,256,SSD,-
49,Asus,X751NV-TY001T (N4200/4GB/1TB/GeForce,Notebook,17.3,4,Windows 10,2.8,466.0,0,1366,768,Intel,N4200,Pentium Quad Core,1.1,Nvidia,GeForce,920MX,1024,HDD,-
50,Lenovo,Yoga Book,2 in 1 Convertible,10.1,4,Android,0.69,434.0,1,1920,1200,Intel,x5-Z8550,Atom,1.44,Intel,HD Graphics,400,64,Flash Storage,-
51,Acer,Aspire A515-51G,Notebook,15.6,8,Windows 10,2.2,841.0,0,1920,1080,Intel,8550U,Core i7,1.8,Nvidia,GeForce,MX150,256,SSD,-
52,HP,255 G6,Notebook,15.6,4,Windows 10,1.86,398.49,0,1920,1080,AMD,9220,A6-Series,2.5,AMD,Radeon R4 Graphics,-,256,SSD,-
53,HP,ProBook 430,Notebook,13.3,8,Windows 10,1.49,1103.0,0,1920,1080,Intel,8550U,Core i7,1.8,Intel,UHD Graphics,620,512,SSD,-
54,Acer,Aspire 3,Notebook,15.6,4,Windows 10,2.4,384.0,0,1366,768,Intel,7100U,Core i3,2.4,Intel,HD Graphics,620,1024,HDD,-
55,Dell,Inspiron 3576,Notebook,15.6,8,Windows 10,2.13,767.8,0,1920,1080,Intel,8550U,Core i7,1.8,AMD,Radeon,520,256,SSD,-
56,HP,15-bs002nv (i3-6006U/4GB/128GB/FHD/W10),Notebook,15.6,4,Windows 10,1.91,439.0,0,1920,1080,Intel,6006U,Core i3,2.0,Intel,HD Graphics,520,128,SSD,-
57,Asus,VivoBook Max,Notebook,15.6,4,Windows 10,2.0,586.19,0,1366,768,Intel,7200U,Core i5,2.5,Intel,HD Graphics,620,256,SSD,-
58,MSI,GS73VR 7RG,Gaming,17.3,16,Windows 10,2.43,2449.0,0,1920,1080,Intel,7700HQ,Core i7,2.8,Nvidia,GeForce GTX,1070,256,SSD,HDD
59,Asus,X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux),Notebook,15.6,4,Linux,2.0,415.0,0,1920,1080,Intel,6006U,Core i3,2.0,Intel,HD Graphics,520,256,SSD,-
60,Dell,Inspiron 5770,Notebook,17.3,16,Windows 10,2.8,1347.5,0,1920,1080,Intel,8550U,Core i7,1.8,AMD,Radeon,530,256,SSD,HDD
61,Dell,Vostro 5471,Ultrabook,14.0,8,Windows 10,1.7,879.0,0,1920,1080,Intel,8250U,Core i5,1.6,Intel,UHD Graphics,620,256,SSD,-
62,Lenovo,IdeaPad 520S-14IKB,Notebook,14.0,8,No OS,1.7,599.0,0,1920,1080,Intel,7130U,Core i3,2.7,Intel,HD Graphics,620,256,SSD,-
63,Asus,UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W10),Notebook,14.0,8,Windows 10,1.4,941.0,0,1920,1080,Intel,8250U,Core i5,1.6,Intel,UHD Graphics,620,256,SSD,-
64,HP,250 G6,Notebook,15.6,8,Windows 10,1.86,690.0,0,1920,1080,Intel,7200U,Core i5,2.5,Intel,HD Graphics,620,256,SSD,-
65,Asus,ZenBook Pro,Ultrabook,15.6,16,Windows 10,1.8,1983.0,0,1920,1080,Intel,7700HQ,Core i7,2.8,Nvidia,GeForce GTX,1050Ti,512,SSD,-
66,HP,250 G6,Notebook,15.6,4,Windows 10,1.86,438.69,0,1366,768,Intel,6006U,Core i3,2.0,AMD,Radeon,520,500,HDD,-
67,HP,Stream 14-AX040wm,Notebook,14.0,4,Windows 10,1.44,229.0,0,1366,768,Intel,N3060,Celeron Dual Core,1.6,Intel,HD Graphics,400,32,SSD,-
68,Lenovo,V310-15ISK (i5-7200U/4GB/1TB/FHD/W10),Notebook,15.6,4,Windows 10,1.9,549.0,0,1920,1080,Intel,7200U,Core i5,2.5,Intel,HD Graphics,620,1024,HDD,-
69,Asus,FX753VE-GC093 (i7-7700HQ/12GB/1TB/GeForce,Gaming,17.3,12,Linux,3.0,949.0,0,1920,1080,Intel,7700HQ,Core i7,2.8,Nvidia,GeForce GTX,1050Ti,1024,HDD,-
70,Microsoft,Surface Laptop,Ultrabook,13.5,4,Windows 10 S,1.252,1089.0,1,2256,1504,Intel,7200U,Core i5,2.5,Intel,HD Graphics,620,128,SSD,-
71,Dell,Inspiron 5370,Ultrabook,13.3,8,Windows 10,1.4,943.44,0,1920,1080,Intel,8550U,Core i7,1.8,AMD,Radeon,530,256,SSD,-
72,Dell,Inspiron 5570,Notebook,15.6,8,Windows 10,2.2,894.5,0,1920,1080,Intel,8550U,Core i7,1.8,AMD,Radeon,530,256,SSD,-
73,MSI,GL72M 7RDX,Gaming,17.3,8,Windows 10,2.7,1095.0,0,1920,1080,Intel,7300HQ,Core i5,2.5,Nvidia,GeForce GTX,1050,128,SSD,HDD
74,Acer,Aspire E5-475,Notebook,14.0,8,Windows 10,2.1,389.0,0,1366,768,Intel,6006U,Core i3,2.0,Intel,HD Graphics,520,1024,HDD,-
75,Asus,FX503VD-E4022T (i7-7700HQ/8GB/1TB/GeForce,Gaming,15.6,8,Windows 10,2.2,949.0,0,1920,1080,Intel,7700HQ,Core i7,2.8,Nvidia,GeForce GTX,1050,1024,HDD,-
76,Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,8,No OS,2.2,519.0,0,1920,1080,Intel,7200U,Core i5,2.5,Intel,HD Graphics,620,2048,HDD,-
77,Dell,Inspiron 5570,Notebook,15.6,8,Windows 10,2.02,855.0,0,1920,1080,Intel,8550U,Core i7,1.8,Intel,UHD Graphics,620,128,SSD,HDD
78,Acer,Aspire A515-51G-32MX,Notebook,15.6,4,Windows 10,2.2,530.0,0,1920,1080,Intel,7130U,Core i3,2.7,Nvidia,GeForce,MX130,1024,HDD,-
79,HP,ProBook 470,Notebook,17.3,8,Windows 10,2.5,977.0,0,1920,1080,Intel,8250U,Core i5,1.6,Nvidia,GeForce,930MX,128,SSD,HDD
80,Dell,Latitude 5590,Ultrabook,15.6,8,Windows 10,1.88,1096.16,0,1920,1080,Intel,8250U,Core i5,1.6,Intel,UHD Graphics,620,256,SSD,-
81,Apple,"MacBook 12""",Ultrabook,12.0,8,macOS,0.92,1510.0,0,2304,1440,Intel,-,Core i5,1.3,Intel,HD Graphics,615,512,SSD,-
82,HP,ProBook 440,Notebook,14.0,8,Windows 10,1.63,860.0,0,1920,1080,Intel,8250U,Core i5,1.6,Intel,HD Graphics,620,256,SSD,-
83,Lenovo,IdeaPad 320-15AST,Notebook,15.6,4,Windows 10,2.2,399.0,0,1920,1080,AMD,9220,A6-Series,2.5,AMD,Radeon R4 Graphics,-,128,SSD,-
84,Acer,Aspire 3,Notebook,15.6,4,Windows 10,2.1,395.0,0,1366,768,AMD,9420,A9-Series,3.0,AMD,Radeon R5,-,1024,HDD,-
85,Dell,Inspiron 7577,Gaming,15.6,16,Windows 10,2.65,1349.0,0,1920,1080,Intel,7700HQ,Core i7,2.8,Nvidia,GeForce GTX,1050Ti,128,SSD,HDD
86,HP,Pavilion 15-CK000nv,Ultrabook,15.6,8,Windows 10,1.83,699.0,0,1920,1080,Intel,8550U,Core i7,1.8,Nvidia,GeForce GTX,940MX,256,SSD,-
87,HP,250 G6,Notebook,15.6,8,Windows 10,1.96,598.99,0,1920,1080,Intel,7200U,Core i5,2.5,Intel,HD Graphics,620,256,SSD,-
88,Asus,FX503VM-E4007T (i7-7700HQ/16GB/1TB,Gaming,15.6,16,Windows 10,2.2,1449.0,0,1920,1080,Intel,7700HQ,Core i7,2.8,Nvidia,GeForce GTX,1060,128,SSD,HDD
89,Dell,XPS 13,Ultrabook,13.3,8,Windows 10,1.21,1649.0,0,1920,1080,Intel,8550U,Core i7,1.8,Intel,UHD Graphics,620,256,SSD,-
90,Asus,FX550IK-DM018T (FX-9830P/8GB/1TB/Radeon,Gaming,15.6,8,Windows 10,2.45,699.0,0,1920,1080,AMD,9830P,FX,3.0,AMD,Radeon RX,560,1024,HDD,-
91,Acer,Aspire 5,Notebook,15.6,8,Windows 10,2.2,689.0,0,1920,1080,Intel,8550U,Core i7,1.8,Nvidia,GeForce,MX150,1024,HDD,-
92,HP,Probook 430,Notebook,13.3,16,Windows 10,1.49,1197.0,0,1920,1080,Intel,8550U,Core i7,1.8,Intel,UHD Graphics,620,512,SSD,-
93,Dell,Inspiron 7577,Gaming,15.6,8,Windows 10,2.65,1195.0,0,1920,1080,Intel,7300HQ,Core i5,2.5,Nvidia,GeForce GTX,1060,256,SSD,-
94,Asus,Zenbook UX430UA,Ultrabook,14.0,8,Windows 10,1.25,1049.0,0,1920,1080,Intel,7500U,Core i7,2.7,Intel,HD Graphics,620,256,SSD,-
95,Acer,Spin 5,2 in 1 Convertible,13.3,8,Windows 10,1.5,847.0,1,1920,1080,Intel,8250U,Core i5,1.6,Intel,UHD Graphics,620,256,SSD,-
96,Dell,Inspiron 3567,Notebook,15.6,8,Linux,2.2,599.9,0,1920,1080,Intel,7500U,Core i7,2.7,AMD,Radeon R5,M430,1024,HDD,-
97,Dell,Inspiron 3567,Notebook,15.6,4,Linux,2.2,485.0,0,1920,1080,Intel,6006U,Core i3,2.0,AMD,Radeon R5,M430,256,SSD,-
98,Asus,X541UV-DM1439T (i3-7100U/6GB/256GB/GeForce,Notebook,15.6,6,Windows 10,2.0,577.0,0,1920,1080,Intel,7100U,Core i3,2.4,Nvidia,GeForce,920M,256,SSD,-
99,HP,Omen 15-ce007nv,Gaming,15.6,12,Windows 10,2.62,1249.0,0,1920,1080,Intel,7700HQ,Core i7,2.8,Nvidia,GeForce GTX,1050,128,SSD,HDD
100,HP,15-bs017nv (i7-7500U/8GB/256GB/Radeon,Notebook,15.6,8,Windows 10,1.91,719.0,0,1920,1080,Intel,7500U,Core i7,2.7,AMD,Radeon,530,256,SSD,-
101,HP,15-bw000nv (E2-9000e/4GB/500GB/Radeon,Notebook,15.6,4,Windows 10,2.1,349.0,0,1920,1080,AMD,E2-9000e,E-Series,1.5,AMD,Radeon R2,-,500,HDD,-
102,Dell,Inspiron 3576,Notebook,15.6,8,Linux,2.2,647.0,0,1920,1080,Intel,8250U,Core i5,1.6,AMD,Radeon,520,1024,HDD,-
103,HP,Envy 13-ad009n,Ultrabook,13.3,8,Windows 10,1.38,1119.0,0,1920,1080,Intel,7500U,Core i7,2.7,Nvidia,GeForce,MX150,256,SSD,-
104,Microsoft,Surface Laptop,Ultrabook,13.5,8,Windows 10 S,1.252,1340.0,1,2256,1504,Intel,7200U,Core i5,2.5,Intel,HD Graphics,620,256,SSD,-
105,HP,Pavilion 14-BK001nv,Notebook,14.0,6,Windows 10,1.58,659.0,0,1920,1080,Intel,7200U,Core i5,2.5,Nvidia,GeForce,940MX,256,SSD,-
106,Lenovo,Ideapad 310-15ISK,Notebook,15.6,4,Windows 10,1.85,414.9,0,1920,1080,Intel,6006U,Core i3,2.0,Intel,HD Graphics,520,1024,HDD,-
107,Asus,UX430UQ-GV209R (i7-7500U/8GB/256GB/GeForce,Ultrabook,14.0,8,Windows 10,1.3,1193.0,0,1920,1080,Intel,7500U,Core i7,2.7,Nvidia,GeForce,940MX,256,SSD,-
108,MSI,GP62M 7REX,Gaming,15.6,16,Windows 10,2.2,1299.0,0,1920,1080,Intel,7700HQ,Core i7,2.8,Nvidia,GeForce GTX,1050Ti,256,SSD,HDD
109,Lenovo,Thinkpad T470,Notebook,14.0,8,Windows 10,1.58,1480.0,0,1920,1080,Intel,7500U,Core i7,2.7,Intel,HD Graphics,620,256,SSD,-
110,Asus,VivoBook S15,Ultrabook,15.6,16,Windows 10,1.5,1262.0,0,1920,1080,Intel,8550U,Core i7,1.8,Nvidia,GeForce,MX150,256,SSD,HDD
111,Dell,XPS 13,Ultrabook,13.3,8,Windows 10,1.23,1379.0,1,3200,1800,Intel,7560U,Core i7,2.4,Intel,Iris Plus Graphics,640,256,SSD,-
112,Lenovo,ThinkPad Yoga,2 in 1 Convertible,13.3,8,Windows 10,1.37,1399.0,1,1920,1080,Intel,7200U,Core i5,2.5,Intel,HD Graphics,620,256,SSD,-
113,HP,Probook 440,Notebook,14.0,4,Windows 10,1.63,722.0,0,1366,768,Intel,8250U,Core i5,1.6,Intel,UHD Graphics,620,500,HDD,-
114,Dell,XPS 13,Ultrabook,13.3,8,Windows 10,1.21,1629.0,0,1920,1080,Intel,8250U,Core i5,1.6,Intel,UHD Graphics,620,256,SSD,-
115,HP,Spectre x360,2 in 1 Convertible,13.3,8,Windows 10,1.26,1398.99,1,1920,1080,Intel,8250U,Core i5,1.6,Intel,UHD Graphics,620,256,SSD,-
116,HP,Probook 440,Notebook,14.0,8,Windows 10,1.63,1084.0,0,1920,1080,Intel,8550U,Core i7,1.8,Intel,UHD Graphics,620,512,SSD,-
117,Dell,Inspiron 7570,Notebook,15.6,8,Windows 10,2.16,1130.33,0,1920,1080,Intel,8550U,Core i7,1.8,Nvidia,GeForce,940MX,256,SSD,HDD
118,Asus,X705UV-BX074T (i3-6006U/4GB/1TB/GeForce,Notebook,17.3,4,Windows 10,2.0,564.0,0,1920,1080,Intel,6006U,Core i3,2.0,Nvidia,GeForce,920MX,1024,HDD,-
119,Asus,VivoBook S15,Notebook,15.6,8,Windows 10,1.7,1118.0,0,1920,1080,Intel,8550U,Core i7,1.8,Nvidia,GeForce,940MX,256,SSD,-
120,Acer,Spin 3,Notebook,15.6,6,Windows 10,2.1,479.0,1,1920,1080,Intel,7100U,Core i3,2.4,Intel,HD Graphics,620,1024,HDD,-
121,MSI,GS63VR 7RG,Gaming,15.6,16,Windows 10,1.8,2241.5,0,1920,1080,Intel,7700HQ,Core i7,2.8,Nvidia,GeForce GTX,1070,256,SSD,HDD
122,Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,8,No OS,2.2,629.0,0,1920,1080,Intel,7200U,Core i5,2.5,Nvidia,GeForce,940MX,256,SSD,-
123,HP,Probook 470,Notebook,17.3,16,Windows 10,2.5,1271.0,0,1920,1080,Intel,8550U,Core i7,1.8,Nvidia,GeForce,930MX,512,SSD,-
124,Acer,Aspire 3,Notebook,15.6,4,Windows 10,2.1,451.0,0,1366,768,AMD,9420,A9-Series,3.0,AMD,Radeon R5,-,256,SSD,-
125,HP,250 G6,Notebook,15.6,4,No OS,1.86,259.0,0,1366,768,Intel,N3060,Celeron Dual Core,1.6,Intel,HD Graphics,400,500,HDD,-
126,HP,Probook 440,Notebook,14.0,8,Windows 10,1.63,812.0,0,1920,1080,Intel,8250U,Core i5,1.6,Intel,UHD Graphics,620,1024,HDD,-
127,Asus,E402WA-GA007T (E2-6110/4GB/64GB/W10,Notebook,14.0,4,Windows 10 S,1.65,277.99,0,1366,768,AMD,6110,E-Series,1.5,AMD,Radeon R2,-,64,SSD,-
128,HP,ProBook 470,Notebook,17.3,8,Windows 10,2.5,928.0,0,1920,1080,Intel,8250U,Core i5,1.6,Intel,UHD Graphics,620,256,SSD,-
129,Dell,Inspiron 5567,Notebook,15.6,8,Windows 10,2.36,638.99,0,1366,768,Intel,7200U,Core i5,2.5,AMD,Radeon R7,M445,1024,HDD,-
130,Dell,Inspiron 3567,Notebook,15.6,4,Windows 10,2.2,449.0,0,1920,1080,Intel,6006U,Core i3,2.0,AMD,Radeon R5,M430,1024,HDD,-
131,Acer,Swift 3,Ultrabook,14.0,8,Windows 10,1.6,884.0,0,1920,1080,Intel,8550U,Core i7,1.8,Intel,UHD Graphics,620,256,SSD,-
132,Acer,Aspire A515-51G-37JS,Notebook,15.6,4,Windows 10,2.2,572.0,0,1920,1080,Intel,7130U,Core i3,2.7,Nvidia,GeForce,MX130,256,SSD,-
133,HP,15-BS078nr (i7-7500U/8GB/1TB/W10),Notebook,15.6,8,Windows 10,2.05,598.0,0,1366,768,Intel,7500U,Core i7,2.7,Intel,HD Graphics,620,1024,HDD,-
134,HP,Probook 440,Notebook,14.0,8,Windows 10,1.63,988.0,0,1920,1080,Intel,8550U,Core i7,1.8,Intel,UHD Graphics,620,256,SSD,-
135,Lenovo,V110-15IAP (N3350/4GB/1TB/No,Notebook,15.6,4,No OS,1.9,252.36,0,1366,768,Intel,N3350,Celeron Dual Core,1.1,Intel,HD Graphics,500,1024,HDD,-
136,Asus,FX753VD-GC086T (i5-7300HQ/8GB/1TB,Gaming,17.3,8,Windows 10,3.0,938.0,0,1920,1080,Intel,7300HQ,Core i5,2.5,Nvidia,GeForce GTX,1050,128,SSD,HDD
137,Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,4,No OS,2.2,499.0,0,1920,1080,Intel,7200U,Core i5,2.5,Nvidia,GeForce,920MX,1024,HDD,-
138,HP,Envy 13-AD007nv,Notebook,13.3,4,Windows 10,1.32,699.0,0,1920,1080,Intel,7200U,Core i5,2.5,Intel,HD Graphics,620,256,SSD,-
139,Acer,Aspire 5,Notebook,17.3,4,Windows 10,3.0,655.0,0,1920,1080,Intel,7130U,Core i3,2.7,Nvidia,GeForce,MX130,1024,HDD,-
140,Lenovo,ThinkPad E480,Notebook,14.0,8,Windows 10,1.75,1116.02,0,1920,1080,Intel,8250U,Core i5,1.6,AMD,Radeon RX,550,256,SSD,-
141,Lenovo,Legion Y520-15IKBN,Gaming,15.6,8,No OS,2.4,869.0,0,1920,1080,Intel,7700HQ,Core i7,2.8,Nvidia,GeForce GTX,1050M,256,SSD,-
142,Toshiba,Satellite Pro,Notebook,15.6,4,Windows 10,2.1,691.0,0,1366,768,Intel,6200U,Core i5,2.3,Intel,HD Graphics,520,500,HDD,-
143,HP,255 G6,Notebook,15.6,4,Windows 10,1.86,369.0,0,1366,768,AMD,9220,A6-Series,2.5,AMD,Radeon R4 Graphics,-,256,SSD,-
144,Asus,ZenBook UX430UA,Ultrabook,14.0,8,Windows 10,1.25,1099.0,0,1920,1080,Intel,8550U,Core i7,1.8,Intel,UHD Graphics,620,256,SSD,-
145,HP,EliteBook Folio,Ultrabook,12.5,8,Windows 10,0.97,2014.0,1,3840,2160,Intel,6Y75,Core M,1.2,Intel,HD Graphics,515,512,SSD,-
146,Asus,X541NA (N3350/4GB/1TB/FHD/W10),Notebook,15.6,4,Windows 10,2.0,344.0,0,1920,1080,Intel,N3350,Celeron Dual Core,1.1,Intel,HD Graphics,500,1024,HDD,-
147,MSI,GE72MVR 7RG,Gaming,17.3,16,Windows 10,2.9,2029.0,0,1920,1080,Intel,7700HQ,Core i7,2.8,Nvidia,GeForce GTX,1070,256,SSD,HDD
148,Acer,Aspire A315-51,Notebook,15.6,4,Windows 10,2.1,447.0,0,1366,768,Intel,6006U,Core i3,2.0,Intel,HD Graphics,520,1024,HDD,-
